extroversion,visual_time,visual_N,textual_time,textual_N,N_objects,N_words,N_deviations
7,0.159764528274536,1,0.000424146652222,1,3,7,0
7,0.246361494064331,2,0.0003662109375,2,3,7,0
7,0.219489574432373,3,0.000330448150635,3,2,6,0
7,0.250025987625122,4,0.000528812408447,4,6,10,0
7,0.582268238067627,5,1.69277191162109E-05,5,5,4,1
7,0.200893402099609,6,2.31266021728516E-05,6,5,4,2
7,0.392249822616577,7,2.05039978027344E-05,6,1,0,2
7,0.270408153533936,8,3.67164611816406E-05,7,1,4,2
7,0.590752124786377,9,0.000381708145142,8,4,8,2
7,0.213491201400757,10,0.000338077545166,8,3,0,2
7,0.164139747619629,11,0.000470399856567,8,5,0,2
