0,1,2,3
1.940777063369751,0.7059178352355957,0.0,5
1.8839795589447021,0.8083484172821045,0.0,5
1.7988955974578857,0.8737238645553589,0.0,5
1.695270299911499,0.9015626311302185,0.0,5
1.5888794660568237,0.887626588344574,0.0,5
1.4769774675369263,0.8276209831237793,0.0,5
1.4116020202636719,0.7425370216369629,0.0,5
1.3837631940841675,0.6389116644859314,0.0,5
1.397699236869812,0.5325208306312561,0.0,5
1.4577049016952515,0.42061880230903625,0.0,5
1.5427888631820679,0.35524338483810425,0.0,5
1.6464141607284546,0.32740458846092224,0.0,5
1.7528049945831299,0.3413406014442444,0.0,5
1.8647069931030273,0.40134626626968384,0.0,5
1.9300824403762817,0.48643019795417786,0.0,5
1.9579212665557861,0.5900555849075317,0.0,5
