cmd_vel_lin_x, cmd_vel_ang_z
0.000000,0.000000
-0.012075,0.106855
-0.037234,-0.057345
0.001648,-0.414421
-0.032391,-0.050702
0.046782,-0.357671
0.369939,-0.600000
0.201926,-0.502187
0.255512,-0.018883
0.181869,-0.081745
0.185900,0.101682
0.252499,0.236740
0.286681,0.462900
0.347125,0.505394
0.369414,0.536925
0.404783,0.515622
0.500000,0.185122
0.481554,0.524701
0.430588,0.544355
0.500000,0.288640
0.479817,0.497149
0.500000,0.196311
0.500000,0.222783
0.500000,0.248286
0.500000,0.435304
0.500000,0.112057
0.500000,-0.018274
0.500000,0.171202
0.500000,0.401413
0.500000,0.056669
0.500000,0.114589
0.500000,0.347810
0.500000,0.425269
0.500000,0.515945
0.500000,0.361344
0.500000,0.499244
0.500000,0.461656
0.500000,0.409025
0.500000,0.305872
0.500000,0.379744
0.500000,0.332369
0.500000,0.317337
0.500000,0.045172
0.500000,-0.016003
0.500000,-0.026471
0.500000,0.011769
0.500000,0.111250
0.500000,0.108241
0.500000,0.020217
0.500000,-0.030620
0.500000,0.151592
0.500000,0.160524
0.500000,0.138060
0.500000,0.069761
0.500000,-0.059530
0.500000,-0.056302
0.500000,-0.052505
0.500000,0.009554
0.500000,0.107170
0.500000,0.101685
0.500000,0.045600
0.500000,0.067400
0.500000,0.087425
0.500000,0.121117
0.500000,0.057099
0.500000,0.007227
0.500000,0.010013
0.500000,0.071103
0.500000,0.345610
0.500000,0.193864
0.500000,0.093691
0.500000,0.215201
0.500000,-0.024165
0.500000,0.093422
0.500000,0.027851
0.500000,0.053686
0.500000,0.030733
0.500000,0.016862
0.500000,0.157793
0.500000,-0.244323
0.500000,-0.121222
0.500000,0.005271
0.500000,0.112578
0.500000,-0.266658
0.500000,-0.113028
0.500000,-0.090128
0.500000,-0.115823
0.500000,-0.106443
0.500000,-0.166169
0.500000,-0.131538
0.500000,-0.181551
0.500000,-0.294421
0.500000,-0.282680
0.500000,-0.426993
0.500000,-0.425402
0.500000,-0.537261
0.500000,-0.507299
0.500000,-0.370124
0.500000,-0.503822
0.500000,-0.505720
0.500000,-0.295072
0.500000,-0.352578
0.500000,-0.266214
0.500000,-0.216520
0.500000,-0.205732
0.500000,-0.295431
0.500000,-0.345963
0.500000,-0.278789
0.500000,-0.333980
0.500000,-0.235497
0.500000,0.037298
0.500000,-0.081770
0.500000,0.269308
0.500000,0.176980
0.500000,0.090633
0.500000,0.058219
0.500000,0.133133
0.500000,0.323757
0.500000,0.359594
0.495355,0.529291
0.500000,0.525543
0.486817,0.527794
0.480109,0.512374
0.489632,0.527918
0.500000,0.519278
0.500000,0.525595
0.484108,0.338268
0.457099,0.520520
0.448278,0.544053
0.447598,0.526863
0.477867,0.536676
0.449317,0.536148
0.474884,0.533328
0.453134,0.538385
0.472587,0.531033
0.487000,0.534746
0.500000,0.532900
0.495453,0.532961
0.500000,0.506462
0.500000,0.532004
0.500000,0.482717
0.500000,0.515377
0.500000,0.523725
0.500000,0.512121
0.500000,0.490386
0.500000,0.507068
0.500000,0.499690
0.500000,0.454837
0.500000,0.380072
0.493546,0.332341
0.485037,0.184335
0.483417,0.203013
0.480331,0.081447
0.456622,0.028402
0.450583,-0.002066
0.438637,-0.121512
0.439746,-0.102708
0.419818,-0.135863
0.424489,-0.353022
0.392861,-0.268691
0.371180,-0.239321
0.365326,-0.531113
0.325373,-0.510364
0.293583,-0.507967
0.254382,-0.507358
0.231189,-0.506733
0.217995,-0.504362
0.200187,-0.506356
0.176549,-0.507344
0.139208,-0.509698
0.119100,-0.511146
0.100200,-0.510506
0.079063,-0.511211
0.058186,-0.512040
0.030212,-0.514420
0.003495,-0.513125
-0.004707,-0.511562
-0.014666,-0.513075
-0.015311,-0.511448
-0.015714,-0.509923
-0.016110,-0.512113
-0.026122,-0.509993
-0.026233,-0.512867
-0.026388,-0.510548
-0.026321,-0.508697
-0.054265,-0.505613
-0.056043,-0.506029
-0.061515,-0.504921
-0.040847,-0.507516
-0.022151,-0.507074
-0.016362,-0.505769
0.000000,0.000000
0.000000,0.000000
