ID,gazebo_label,label,c_map_x,c_map_y,d_map_x,d_map_y,movability,openability,mass_centre,orientation,under_table,x_for_text_viz,y_for_text_viz
1,chair_1,chair,-9.6,0.67,0.4,0.4,1,0,bl,r,n,-9.6,0.67
2,chair_2,chair,-9.6,3.52,0.4,0.4,1,0,bl,r,n,-9.6,3.52
3,chair_3,chair,-9.6,6.54,0.4,0.4,1,0,bl,r,n,-9.6,6.44
4,chair_5,chair,-2.37,0.09,0.4,0.4,1,0,tl,b,y,-2.37,0.24
5,chair_6,chair,-2.37,3.83,0.4,0.4,1,0,tl,b,y,-2.37,3.83
6,chair_7,chair,-2.37,6.91,0.4,0.4,1,0,tl,b,y,-2.37,7.01
7,chair_13,chair,-8.45,0.67,0.4,0.4,1,0,tr,l,y,-8.05,0.67
8,chair_14,chair,-8.45,3.52,0.4,0.4,1,0,tr,l,y,-8.05,3.52
9,chair_15,chair,-8.45,6.54,0.4,0.4,1,0,tr,l,y,-8.05,6.44
10,chair_16,chair,-5.72,3.52,0.4,0.4,1,0,tr,l,na,-5.72,3.52
11,chair_17,chair,-2.37,-0.61,0.4,0.4,1,0,br,t,y,-2.37,-0.81
12,chair_18,chair,-2.37,3.13,0.4,0.4,1,0,br,t,y,-2.37,2.93
13,chair_19,chair,-2.37,6.21,0.4,0.4,1,0,br,t,y,-2.37,6.01
14,table_1,table,-2.37,-0.26,0.8,0.8,0,0,c,na,na,-2.37,-0.26
15,table_2,table,-2.37,3.48,0.8,0.8,0,0,c,na,na,-2.37,3.48
16,table_3,table,-2.37,6.56,0.8,0.8,0,0,c,na,na,-2.37,6.44
17,table_4,table,-8.85,0.67,0.8,0.8,0,0,c,na,na,-8.85,0.67
18,table_5,table,-8.85,3.52,0.8,0.8,0,0,c,na,na,-8.85,3.52
19,table_6,table,-8.85,6.54,0.8,0.8,0,0,c,na,na,-8.85,6.44
20,bookshelf_1,bookshelf,-7.18,-0.27,0.4,0.95,0,0,l,na,na,-7.18,-0.35
21,bookshelf_2,bookshelf,-5.73,-0.35,0.4,0.95,0,0,l,na,na,-5.72,-0.35
22,bookshelf_3,bookshelf,-4.24,-0.35,0.4,0.95,0,0,l,na,na,-4.24,-0.35
23,bookshelf_4,bookshelf,-5.8,-2.22,2,0.5,0,0,b,na,na,-5.8,-2.22
24,bookshelf_5,bookshelf,-4.24,5.09,0.4,1.9,0,0,l,na,na,-4.24,5.09
25,bookshelf_6,bookshelf,-4.24,2.07,0.4,1.9,0,0,l,na,na,-4.24,2.07
26,bookshelf_7,bookshelf,-4.24,8.04,0.4,1.9,0,0,l,na,na,-4.24,8.04
27,bookshelf_8,bookshelf,-5.72,8.04,0.4,1.9,0,0,l,na,na,-5.72,8.04
28,bookshelf_9,bookshelf,-5.72,5.09,0.4,1.9,0,0,l,na,na,-5.72,5.09
29,bookshelf_10,bookshelf,-5.72,2.07,0.4,1.9,0,0,l,na,na,-5.72,2.07
30,bookshelf_11,bookshelf,-7.15,5.09,0.4,1.9,0,0,l,na,na,-7.15,5.09
31,bookshelf_12,bookshelf,-7.15,2.05,0.4,1.9,0,0,l,na,na,-7.15,2.07
32,bookshelf_13,bookshelf,-7.15,8.04,0.4,1.9,0,0,l,na,na,-7.15,8.04
33,bookshelf_14,bookshelf,-1.15,-0.35,0.4,1.9,0,0,l,na,na,-1.15,-0.07
34,bookshelf_15,bookshelf,-1.15,3.42,0.4,1.9,0,0,l,na,na,-1.15,3.72
35,bookshelf_16,bookshelf,-1.15,7.32,0.4,1.9,0,0,l,na,na,-1.15,7.62
36,wall_1,wall,-5.29,-3.78,9.65,0.15,0,0,c,na,na,-5.29,-3.68
37,wall_2,wall,-0.56,3.52,0.15,14.65,0,0,c,na,na,-0.66,4.52
38,wall_3,wall,-5.29,10.82,9.65,0.15,0,0,c,na,na,-5.29,10.52
39,wall_4,wall,-10.04,3.52,0.15,14.65,0,0,c,na,na,-9.94,4.52
40,coffee_table,table,-2.48,10.18,0.95,0.95,0,0,c,na,na,-2.48,10.18
