Response ID,Age,I consider myself an extrovert.,Sex,Nationality,Country of Residence,Completed level of education with specialization/major,Completed level of education with specialization/major [Comment],Profession,Profession [Other],Please specify your job title,Do you have previous experience with robotics?,Do you have previous experience with Explainable Artificial Intelligence?,Do you have color blindness?,I consider myself a technology enthusiast.,I have understood the study design and task.,What was the first obstacle encountered by the robot during navigation?,What was the second obstacle encountered by the robot during navigation?,I'm able to understand the actions/behavior of the robot with the given explanation.,I'm satisfied with the explanation provided.,The explanation provides sufficient details of the robot's actions and behaviors.,The explanation accurately describes the movement and actions of the robot.,The explanation provides reliable information about the robot's actions.,The explanation describes the robot's actions/behaviors efficiently.,The explanation describes the robot's actions and situation completely​​​​​.,The explanation helps me know when I should trust and not trust the navigating robot.,Total time
2,37,1,Male,Bosnian,Bosnia,Doctorate,,Engineering,,Lecturer ,No,No,No,4,Yes,chair_8,chair_9,4,4,4,4,4,4,4,4,264.87
6,29,4,Male,British ,UK,Doctorate,,AI/Robotics,,research scientist on intelligent robotics,Yes,Yes,No,5,Yes,chair_8,chair_9,4,4,4,5,3,2,3,3,293.59
7,25,2,Male,Indian,Germany,Bachelor Degree,Computer Science,AI/Robotics,,Embedded AI Software developer,Yes,No,No,3,Yes,chair_8,chair_9,4,3,3,4,4,5,5,5,227.77
8,26,3,Male,Bosnian,Bosnia and Herzegowina,Bachelor Degree,,Engineering,,Telecommunications,No,No,No,3,Yes,table_3,chair_8,3,4,4,5,4,4,4,4,3298.82
9,24,4,Female,Indian,Germany,Bachelor Degree,Psychology,Other,N/A,NA,No,Yes,No,4,Yes,chair_8,chair_9,4,2,4,4,3,2,2,3,252.57
11,22,4,Female,German,Germany,High School,,Other,Science,Biology and chemistry studies,Yes,No,No,3,Yes,table_3,chair_9,4,4,4,4,4,5,3,3,908.49
12,21,4,Female,BiH,BiH,High School,Currently studying third year Bachelor Degree.,Engineering,,Automatics engineer,Yes,Yes,No,5,Yes,chair_8,chair_9,4,4,4,4,4,4,4,4,1099
13,21,5,Female,German,Germany,High School,,Education,,Teaching,Yes,Yes,No,2,Yes,chair_8,chair_9,3,3,3,3,2,2,2,3,197.36
14,29,3,Male,Indian,germany,Bachelor Degree,,Education,,student,Yes,Yes,No,4,Yes,chair_8,chair_9,5,5,5,5,5,5,5,5,362.62
15,28,4,Male,Bosniak,Bosnia & Herzegovina,Bachelor Degree,Completed bachelor degree in Automatic control and electronics. Currently pursuing masters in Computer science.,Information Services,,DevOps engineer,Yes,No,No,4,Yes,chair_8,chair_9,4,4,4,4,3,2,4,3,514.43
